time_seconds,scene_score
465.4,0.633816
466.48,0.611098
467.56,0.607157
468.4,0.460207
469.12,0.529120
471.72,0.469481
472.72,0.622567
473.88,0.560710
474.64,0.621510
476.32,0.524989
479.32,0.542222
482.48,0.624782
484.8,0.494276
487.12,0.373297
488.68,0.581414
490.96,0.514150
493.08,0.485204
496,0.505916
498.48,0.428657
500.32,0.569117
501.4,0.466490
504.68,0.485853
506.6,0.410392
512.04,0.513094
512.68,0.518804
520.64,0.543134
522.56,0.627434
526.96,0.567396
527.84,0.579630
528.96,0.570757
532.84,0.469626
534,0.455998
534.72,0.444753
537.76,0.798128
539.08,0.813100
541.32,0.619447
547.08,0.506332
549.72,0.474998
550.72,0.647039
551.72,0.515210
555.12,0.513001
556.12,0.424103
556.96,0.413746
559.56,0.517938
561.52,0.368715
562.92,0.427015
565.88,0.545832
567,0.419156
568.08,0.366199
569.12,0.404280
569.56,0.384645
572.8,0.516916
574.48,0.520767
575.92,0.379074
578.6,0.479276
580.6,0.463010
583.44,0.548262
585.4,0.537471
588.44,0.522318
592.24,0.527755
598.36,0.444522
601.04,0.433974
602.4,0.581990
604.96,0.541929
607.4,0.478505
608.72,0.467520
612.32,0.548797
613.88,0.531736
617.2,0.363931
619.12,0.490645
622.64,0.439444
626.28,0.620842
627.16,0.535110
629.28,0.448289
630.48,0.600322
633.48,0.411869
635.28,0.593792
637,0.647778
638.12,0.530646
641.56,0.389699
643.72,0.518543
645.8,0.506429
648.56,0.455611
649.64,0.518244
650.36,0.512698
651.72,0.421151
654.4,0.456927
656.12,0.438901
658.4,0.412089
662.8,0.486105
665.24,0.469198
666.48,0.414427
672.72,0.461630
674,0.425732
675,0.564008
678.04,0.480834
682.04,0.367743
685.2,0.382826
685.8,0.354301
687.28,0.456521
689.8,1.000000
691.12,0.497397
692.72,0.644565
693.68,0.539998
694.56,0.613065
695.84,0.473148
697.12,0.504984
698.04,0.427387
700.32,0.505579
702.4,0.635768
703.28,0.434163
703.4,1.000000
703.52,1.000000
703.6,0.439235
703.68,1.000000
703.8,1.000000
705.4,0.566876
707.04,0.577033
708.72,0.453128
713.68,0.561780
715.52,0.417116
717.96,0.459539
720.44,0.505779
721.96,0.350865
723.6,0.413034
725.32,0.473968
726.48,0.499463
727.68,0.381946
730.28,0.483552
731.48,0.410442
733.12,0.454762
735.76,0.468400
737.76,0.428189
741.76,0.442904
743.56,0.379923
745.84,0.384146
748.56,0.392696
751.28,0.453532
754.04,0.447375
758.48,0.475385
760.88,0.513703
761.84,0.534352
766.68,0.432436
769,0.463001
770.56,0.353671
774.32,0.586491
781.44,0.399557
792.08,0.379443
794.72,0.494491
797.04,0.432803
799.04,0.419616
800.92,0.460982
806.12,0.555853
808.88,0.631152
810.12,0.567510
814.56,0.448498
818,0.525785
822.08,0.449668
823.2,0.538474
824.6,0.492494
826.2,0.412643
827,0.576229
831.96,0.435132
832.76,0.542656
834.2,0.412121
836,0.605505
837.2,0.528581
842.08,0.352051
845.52,0.595310
